Gene	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D3
100577234	0	0	0	1	0	0	0	0	0	1	0
413854	3391	1561	3588	2862	3181	3723	1971	2083	3453	1695	2439
412890	2653	1228	2826	2367	3066	3565	2428	1895	3152	1715	1892
100576169	2189	834	2041	1950	2177	2403	1269	1158	2130	1094	1584
724817	913	429	942	781	810	957	474	567	862	429	608
726648	22	7	15	16	14	18	9	4	8	3	11
552228	14082	6667	15070	12102	13641	16138	7183	7752	13408	6234	8699
413539	4050	1966	4920	3723	4143	4601	2529	2965	4183	1989	2997
100577183	1	0	0	2	2	0	0	0	0	0	0
412057	1257	407	1228	1024	757	1198	562	616	993	536	576
408782	105758	38216	104417	90784	85978	109535	45844	52410	75825	36106	51548
100578622	297	123	304	298	285	436	116	82	314	115	190
409109	37307	18388	33716	29673	36839	32129	20260	29771	39943	21368	17716
100576609	338	226	397	233	489	541	140	235	331	126	278
550700	5100	2561	5655	4713	5143	6057	2985	3374	5141	2440	3580
727087	1328	555	1309	1116	1297	1618	690	727	1229	561	907
100578569	0	0	0	2	0	0	1	0	0	0	0
551632	0	0	0	0	0	0	0	0	0	0	0
100576835	135	33	147	97	97	175	67	69	119	50	95
100576142	0	0	0	0	0	0	0	0	0	0	0
726378	9931	4059	10107	8485	9151	11281	4549	5295	8689	3745	6009
724424	881	414	1046	792	968	1125	527	587	1006	434	627
409783	10622	3606	9494	8722	10120	11160	5244	5489	9266	4428	6503
406075	99262	42621	103747	86930	90158	109603	48439	50332	89663	40466	54552
100577705	0	0	0	0	0	0	0	0	0	0	0
100576138	298	109	259	229	266	299	138	135	268	100	179
100576509	34	11	55	38	56	59	33	23	40	20	31
552070	1642	767	1901	1333	1879	2044	975	1170	2032	730	1120
551439	2391	1108	2593	2209	2490	2820	1360	1456	2363	1116	1590
410550	597	242	760	467	672	912	270	286	629	237	419
552510	752	338	896	646	656	809	431	506	794	387	611
412918	10075	4282	9729	8909	9201	10520	5548	6522	9567	4337	6290
411264	94	35	60	81	142	76	40	108	123	30	43
100576794	997	381	1055	850	839	1045	540	574	898	449	543
724727	4460	1610	4153	3665	4201	4794	2336	2328	4164	1880	2862
551953	0	0	0	0	0	0	0	0	0	0	0
100578362	1446	530	1450	1338	1533	1604	836	718	1575	693	1135
724250	209	58	150	175	156	180	94	85	152	64	82
724604	7816	2539	6972	6478	6831	8042	3702	3972	6809	2951	4730
551133	2113	929	2004	1841	2164	2284	1004	1278	2027	1029	1361
409655	28472	10148	24394	21497	26174	26512	15034	16094	26781	12181	15873
100577863	8	4	9	7	6	9	0	4	4	1	1
409332	17528	7603	17677	15371	17500	18919	9620	9732	16676	7844	11358
552433	2758	1347	3083	2422	2688	3230	1562	1720	2809	1240	1774
100577352	445	259	819	517	826	621	295	449	979	283	613
411186	23	19	33	22	34	36	20	21	35	13	18
726409	604	295	707	518	649	780	316	373	590	273	393
550671	536	232	669	581	776	960	228	347	586	174	473
100577471	0	0	0	0	0	0	0	0	0	0	0
100577584	1	0	0	1	0	0	0	0	0	0	0
551087	2708	1319	3014	2503	2820	3169	1630	1780	2863	1353	1958
100576595	8	4	11	10	11	7	5	2	13	13	5
408828	15390	5595	12899	11728	13334	13326	6681	6167	10593	6556	7603
551603	8024	3725	8827	7119	7926	9484	4420	4481	8025	3628	5204
410205	3675	1719	3995	3186	3543	4246	2063	2090	3536	1698	2497
724619	0	0	0	0	0	0	0	0	0	0	0
100576448	155	71	176	131	162	182	71	116	167	81	100
409695	0	0	0	0	0	0	0	0	0	0	0
100578087	0	0	0	0	0	0	0	0	0	0	0
100576208	62	37	32	47	18	20	10	11	21	14	10
100579024	566	241	685	502	574	623	399	440	662	293	443
413636	5472	2511	5728	4822	5612	6328	2966	3078	5288	2636	3769
100578752	1773	795	1810	1558	1779	1939	966	1072	1632	707	1129
100577830	14	7	16	12	15	4	7	8	7	6	5
100578616	0	0	0	0	0	0	0	0	0	0	0
100577071	5	4	4	4	5	5	3	5	10	4	5
724290	874	391	885	687	862	946	541	550	893	444	742
100578076	89	20	78	62	83	64	51	30	48	35	45
100576173	22	9	21	11	36	42	11	20	38	11	13
411085	1422	657	1430	1277	1310	1660	814	945	1332	648	866
412869	16	16	27	11	13	23	11	7	33	2	13
725614	5156	2061	4938	4371	4850	5645	2554	2741	4699	2250	3032
552463	0	0	0	0	0	0	0	0	0	0	0
552223	3889	1935	4185	3727	3856	4592	2274	2427	3807	1974	2671
724710	3973	1880	4146	3482	3426	4401	2141	2275	3513	1768	2503
100577196	1137	412	962	951	1019	1071	511	519	1031	432	717
724118	990	416	1027	874	969	1115	506	547	944	422	670
724430	77	20	69	95	94	69	24	48	64	29	39
552185	4555	2174	5214	4163	4523	5172	2814	3218	4952	2197	3653
552066	0	0	0	0	0	0	0	0	0	0	0
100578596	39	16	41	22	45	41	10	42	42	17	22
100576809	815	264	795	782	847	868	391	377	788	337	636
410190	831	293	655	745	742	737	404	459	565	301	408
724315	1688	528	1565	1490	1788	1681	793	692	1448	608	1069
100576923	139	68	308	153	119	121	80	116	145	66	126
411223	128	20	291	19	37	305	24	54	30	5	57
409880	0	0	0	0	0	0	0	0	0	0	0
100576143	133	60	205	103	145	128	91	125	209	66	158
551501	2525	1146	2795	2111	2691	3097	1456	1650	2779	1079	1614
100578101	222	112	239	159	215	256	107	122	222	78	127
100576370	3	0	0	1	1	1	2	0	3	1	2
551859	161765	66980	161124	140625	140967	170024	80348	86093	140626	66405	96967
724746	169	48	122	135	127	139	69	73	119	80	85
552341	2539	1261	2803	2156	2549	2956	1553	1577	2598	1236	1849
100577531	45	23	31	46	35	38	23	15	36	11	13
100578088	0	0	0	0	0	0	0	0	0	0	0
100576642	0	0	0	0	0	0	0	0	0	0	0
725465	957	486	1145	902	1009	1189	593	674	1074	452	727
409010	1908	938	2093	1747	1954	2151	1006	1138	1919	883	1333
100578775	24	10	20	25	25	36	7	14	24	8	16
100576476	13	10	18	5	21	16	16	16	16	4	7
751102	758	387	914	799	833	1202	431	221	709	223	647
100577919	1150	416	1162	993	990	1266	554	489	970	394	687
725327	0	0	1	0	0	1	0	0	0	0	0
409369	879	400	873	739	835	945	391	478	842	368	553
100577078	2	1	5	3	4	1	0	1	2	1	1
100576667	7080	3424	7918	6180	6679	8126	3879	4196	7045	3314	4825
100576571	1184	675	1367	1049	1243	1457	731	786	1350	624	908
410035	17119	6574	15837	14361	16663	17530	8098	10285	15706	6991	10393
724183	0	0	0	0	0	0	0	0	0	0	0
100577082	21044	13721	23046	20497	29972	21545	13452	23570	28606	9941	9930
100578502	12	4	11	13	21	24	10	17	18	3	12
100577157	8	4	5	5	11	13	4	3	26	8	7
725131	212198	68204	167649	181474	178870	182682	97842	128088	174360	70763	105684
552178	2128	1015	2315	1879	2076	2565	1280	1308	2073	1060	1502
408587	857	285	855	779	751	1048	449	398	690	261	464
100578504	67	40	99	39	79	104	52	63	142	33	68
100576528	769	209	602	576	670	732	348	289	667	250	429
100577399	0	0	0	0	0	0	0	0	0	0	0
100578321	6149	1883	5234	5548	5612	5876	2744	3065	4996	2242	3515
551909	7948	3817	9085	7232	8065	9525	4527	5254	8445	3854	5447
410015	11533	4332	11419	10142	11172	12946	6472	6774	11201	5058	7723
725448	0	0	0	0	0	0	0	0	0	0	0
724868	9361	3754	9104	7245	7774	9556	4768	5509	8126	4016	5399
100576266	3374	1504	3469	3050	3542	4330	1861	1781	3257	1689	2439
552189	1207	587	1409	1037	1176	1311	858	960	1399	725	987
724472	1290	583	1462	1047	1255	1369	859	888	1452	591	1028
724120	3057	974	2668	2482	2965	2956	1432	1250	2435	1130	1555
100577027	1020	516	1167	909	1044	1188	582	614	1084	461	762
732505	0	0	0	0	0	0	0	0	0	0	0
412084	4196	2132	5051	3676	4369	4883	2694	3344	4832	2135	3258
409268	0	0	0	0	0	0	0	0	0	0	0
100576769	0	0	0	0	0	0	0	0	0	0	0
100315683	0	0	0	0	0	0	0	0	0	0	0
411372	1095	551	1352	981	1089	1256	749	767	1204	506	845
725877	662	339	751	615	742	804	346	452	734	286	456
410681	1459	619	1607	1379	1475	1768	819	982	1374	669	962
411100	2540	1133	2625	2122	2533	3184	1389	1425	2638	1058	1772
411332	1273	630	1439	1138	1205	1513	761	861	1220	523	799
725886	2417	1043	2642	2277	2364	2665	1321	1508	2448	1111	1662
551540	705	345	777	720	732	921	450	454	760	367	513
409100	7085	3575	7976	6194	6953	8449	3953	4241	7147	3131	4721
100578442	5	2	7	5	11	11	4	2	7	5	7
100576781	327	142	295	283	258	279	166	199	338	135	172
724664	7	3	0	1	17	4	0	1	0	0	3
724687	344	101	334	252	280	317	178	178	320	144	217
409005	2569	1364	2846	2194	2538	3048	1537	1701	2529	1210	1771
409299	9995	4459	10968	9301	10189	12133	5119	5661	9807	4234	6338
725284	887	492	1245	789	1134	1297	562	886	1630	443	870
725515	3591	1550	3456	2694	3089	3869	1495	1822	2699	1372	2047
408605	27729	13522	31603	24129	32422	37364	15256	13716	28068	14487	23321
100578978	0	0	0	0	0	0	0	0	0	0	0
412655	4174	1921	4422	3739	4554	5204	2528	2369	4336	2180	3320
100315659	0	0	0	0	0	1	0	0	0	0	0
412436	2612	1083	2505	2227	2354	2614	1252	1476	2168	978	1457
409599	9604	3827	9361	7710	7807	10119	4847	5350	7917	3825	5392
411486	3	1	5	9	7	4	2	4	1	2	5
100579013	1	0	0	0	0	0	0	0	0	0	0
410332	11711	4555	11212	10109	10231	12704	5190	5576	9446	4228	6954
413354	3539	1600	3513	3001	3188	3967	2146	1987	3491	1612	2263
411058	2106	1018	2122	1821	1979	2298	1097	1216	1943	1000	1313
409925	2850	1343	3111	2454	2828	3144	1632	1646	2772	1205	1997
727113	4576	2147	5109	4024	4670	5133	2815	2699	4849	2130	3115
551841	816	421	1025	747	851	956	553	655	990	447	728
413270	81	16	72	74	64	82	40	44	72	27	43
412825	575	156	502	415	460	524	400	369	764	315	369
551880	3887	1900	4379	3430	3932	4431	2357	2652	3933	1895	2671
409955	3691	1636	3798	3175	3447	4064	1929	2176	3359	1647	2247
413076	1347	433	1152	1193	1305	1217	661	664	1252	546	847
410197	642	330	869	683	910	1204	497	355	977	324	693
410998	3467	1292	3546	3062	3192	3767	1542	1834	3207	1284	2173
413245	937	458	1063	852	1027	1165	533	664	903	445	693
100576623	0	0	0	0	0	0	0	0	0	0	0
726611	426	184	421	437	563	549	234	297	491	163	268
100578880	1355	637	1511	1157	1297	1492	834	990	1426	609	934
100577042	87	33	88	57	83	93	32	49	79	31	36
725677	712	325	750	557	636	803	415	460	699	247	477
724802	689	303	692	611	659	753	402	427	670	305	412
724257	793	396	1104	722	818	928	471	498	780	379	512
411646	2037	586	1560	1746	1828	1864	1075	1045	1994	909	1358
100577390	688	214	598	610	641	712	407	309	704	310	515
100577062	10	7	9	6	12	11	6	1	9	4	9
408428	1606	642	2122	1554	1506	1777	619	593	1393	560	792
726366	760	354	854	709	741	831	395	475	798	367	542
100577469	0	0	0	0	1	0	0	0	3	0	0
550791	8841	4701	10933	8995	11654	10149	5943	6622	12117	4202	8360
100577910	260	70	212	231	256	245	156	129	271	94	175
409424	18104	8312	18770	15542	20312	22713	9528	9524	18188	9437	13439
725320	5831	2589	6210	4946	5538	6356	3291	3337	5432	2682	3620
552675	6508	2728	6599	5266	6081	7226	3269	3443	6246	2703	4032
725572	3049	1594	3554	2879	3029	3636	1712	2140	3010	1425	2035
552484	3332	1638	3665	2867	3206	3752	1749	2181	3200	1500	2272
100576950	0	0	0	0	1	0	0	0	0	0	0
100576377	0	0	0	0	0	0	0	0	0	0	0
413123	8322	3669	8678	7620	8189	9195	4550	5168	8093	3847	5765
724841	4870	2232	5167	4279	4902	5750	2762	2827	4875	2239	3446
100576788	308	101	308	306	328	365	200	177	339	160	305
412887	470	143	417	390	375	428	238	239	329	162	254
409311	4419	1985	4719	3776	4531	5106	2287	2493	4329	1925	2873
100577490	832	479	1081	809	1025	904	457	744	903	338	583
726631	2370	1140	2666	2161	2340	2798	1371	1496	2408	1102	1635
412439	3200	1357	3508	2669	3306	3713	1592	1793	3180	1331	2172
725699	2068	702	1774	1581	2260	2069	878	1440	1842	791	1069
552397	340	93	303	358	378	324	158	145	258	138	220
550921	8982	3179	7964	7569	8471	8806	4301	3952	8389	3500	5284
725315	3730	1722	4182	3353	3336	4220	2118	2471	3693	1609	2273
726925	0	0	0	0	0	0	0	0	0	0	0
100578639	55	18	45	47	64	49	26	31	53	10	40
100577536	0	0	0	0	0	0	0	0	0	0	0
100576904	76	57	229	85	162	200	69	112	166	53	116
409318	24865	11347	26362	21938	24737	26068	13357	14594	23479	10512	15520
726964	454	232	578	373	486	500	337	362	553	250	402
100576891	0	0	0	0	0	0	0	0	0	0	0
552330	6762	3327	7528	5886	7109	8168	3765	4140	7213	3233	5086
100576762	106	40	106	103	115	97	53	67	118	59	102
552172	553	252	633	485	623	659	363	312	603	276	445
409138	30024	12036	28126	26064	27840	30550	14278	17322	27891	12101	19294
552517	10636	4861	11523	8777	10029	12477	5873	6789	10357	4455	6673
724433	3838	1239	3569	3506	3558	3824	1629	1924	3217	1336	2224
100576660	2799	1242	3061	2518	2812	3175	1555	1959	2712	1310	1855
408690	2101	826	2077	1949	2002	2319	981	979	1759	739	1149
807700	29771	15587	28271	25202	28607	20387	17562	23167	25788	13641	17529
725736	129	63	185	101	146	132	113	147	167	73	127
412201	2219	986	2288	1945	2404	2494	1160	1267	2196	904	1515
408650	18451	10293	26194	21074	24891	35456	11356	9647	20948	6571	14516
727007	116	51	137	89	70	157	65	52	177	32	88
409473	6381	3170	7390	5703	5954	7350	3445	3918	6580	2658	3952
411519	75	46	82	70	99	77	32	33	85	23	54
550684	382	191	415	306	306	415	211	242	361	184	248
550991	3186	1619	3541	2782	3187	3809	1807	1803	3257	1537	2244
100576316	0	0	3	2	0	0	0	0	2	0	2
100577593	318	143	399	254	324	298	226	245	335	178	255
727074	1415	757	1805	1165	1416	1724	987	1075	1641	699	1181
551759	483	272	549	373	531	465	362	445	834	254	381
726018	982	490	1111	875	1011	1203	548	698	985	422	697
408558	1224	484	1436	1119	1275	1566	696	697	1465	496	907
727490	581	278	681	535	634	653	385	433	637	285	393
551980	3951	1962	4622	3484	3826	4400	2300	2736	3985	1903	2908
408476	8774	2654	7295	8342	7840	8309	4646	4796	8235	3356	5535
100579050	20	2	11	22	27	15	20	13	16	9	14
552077	9621	4608	10749	8631	9832	11103	5294	5600	9882	4433	6577
551994	1056	461	909	781	740	890	458	614	887	457	502
725362	5805	3016	6697	5147	5769	6928	3182	3192	5647	2542	3875
408318	2606	894	2585	2380	3060	2959	1262	1642	2423	1033	1923
412944	3513	1688	3979	3270	3741	4001	2147	2504	3787	1753	2592
409923	3049	1027	2818	2448	2810	3060	1383	1426	2839	1135	1869
551667	1163	579	1387	1042	1319	1372	656	812	1224	526	899
412407	1209	670	1462	1013	1436	1429	742	845	1312	563	918
406081	9564	1148	6116	4767	2945	12603	1304	2357	8484	474	5284
726411	11086	4294	10878	8203	8858	10877	5077	5376	8109	4000	5387
408579	9687	4380	12208	9102	11872	12832	5029	5143	11733	4105	6650
410507	2800	1171	3257	2398	2509	3700	1673	1699	3010	1335	1812
100578536	1234	313	897	1132	1202	972	631	669	1104	505	909
410229	4862	1633	4553	4233	4369	5236	2110	2395	4061	1678	2793
100578630	0	0	0	1	2	0	0	0	1	0	0
100577542	119	77	131	100	127	136	50	106	144	55	83
408371	1491	701	1592	1291	1433	1686	920	1032	1467	702	1008
100578759	10	4	7	11	15	7	5	3	17	7	10
100315692	0	0	0	0	0	0	0	0	0	0	0
100576389	0	0	0	0	0	0	0	0	0	0	0
100578066	101	48	128	96	119	128	53	43	94	43	87
410687	100	26	74	104	82	74	73	68	80	43	44
100576899	622	467	1420	585	1367	1654	370	909	1079	271	891
411285	119	32	48	59	57	54	52	68	60	13	58
100576717	5056	2239	5106	4181	4925	5502	2537	2761	4718	2229	3483
411214	283	104	251	242	285	259	92	99	189	81	130
410875	1543	650	1523	1212	1466	1636	837	977	1468	687	973
412299	28082	9404	22435	24335	25519	25729	13793	18606	26519	11161	17270
408710	4542	2040	4971	4205	4783	5545	2575	2682	4684	2093	3482
726451	136	69	179	130	127	166	81	100	147	78	103
552266	6025	2483	5754	4843	5054	6503	3267	3691	5455	2550	3525
100577167	8	4	12	15	13	17	11	12	9	8	9
724331	839	397	982	736	822	1028	527	503	904	405	589
726881	0	0	0	0	0	0	0	0	0	0	0
412926	1289	397	943	1192	1220	1021	606	696	1022	413	708
412634	7788	3120	8026	6942	7857	8414	4346	5392	7817	3457	5156
726726	6741	2807	6758	5967	6645	7472	3739	3994	6506	3149	4303
413171	7388	2609	6723	6414	6955	7517	3518	3791	7164	2929	5051
724459	5	1	8	6	7	5	1	2	2	1	6
100578001	9	4	15	2	6	10	7	6	15	5	11
409259	2944	1299	3152	2601	2907	3254	1674	1774	2671	1301	1943
100578265	1	0	0	1	0	1	0	1	0	0	0
724307	22	5	32	13	14	29	10	11	15	8	14
100577546	1508	657	1524	1160	1287	1458	876	862	1396	647	874
100577305	2	0	2	0	0	0	1	0	0	0	0
552368	0	0	0	0	0	0	0	0	0	0	0
409889	9808	3658	12011	8993	8104	11183	3751	4052	5713	3066	5616
100174948	5378	2393	5472	4556	5049	5915	2754	3280	4917	2316	3267
408729	1469	590	1433	1176	1344	1444	549	795	1136	429	788
726298	286	138	320	282	374	387	148	179	308	122	221
552354	9788	4252	10153	8292	9499	11492	4882	5349	8834	4254	6242
100576341	15	8	20	10	17	26	5	6	21	3	14
411407	1934	842	2272	1577	1708	2124	1152	1068	1899	852	1303
552815	1383	694	1478	1206	1365	1566	748	880	1429	665	897
408699	574	260	643	497	605	768	223	366	638	224	355
409857	927	454	962	774	909	1091	543	562	921	407	649
727278	0	0	0	0	0	0	0	0	0	0	0
100578130	9	4	7	1	8	7	3	8	6	1	3
725564	145	34	102	99	125	86	78	61	110	52	89
409636	1032	564	1313	926	1126	1307	570	679	1071	531	753
551153	885	380	984	681	897	895	522	609	813	380	575
732504	0	0	0	0	0	1	0	0	0	0	0
725579	1274	636	1462	1183	1326	1527	885	1012	1500	635	944
410857	934	382	595	705	468	575	279	225	458	247	313
724506	651	358	850	561	712	767	474	465	838	353	586
100578003	23	9	17	16	30	39	4	19	30	11	13
100576863	89	60	117	78	136	127	85	69	138	53	99
412976	29	7	19	34	21	31	15	14	16	13	15
727082	0	0	0	0	0	0	0	0	0	0	0
412067	2638	1426	3019	2316	2772	3128	1549	1770	2737	1236	1887
551715	1233	649	1388	1102	1235	1390	756	717	1293	602	844
406099	6720	2851	6357	5275	5627	7298	3514	3971	5924	2744	3834
410343	1313	547	1304	1072	1247	1378	1122	968	1472	694	873
724751	617	225	544	515	606	598	260	324	474	215	288
413060	130	53	121	143	109	132	82	81	121	54	78
551774	44647	19588	46304	40425	44314	51911	24585	27251	43602	19599	29009
552255	1692	455	1385	1858	1795	1746	933	1026	1613	707	1211
412030	2108	1083	2484	1922	2219	2721	1228	1155	2245	1097	1578
412591	812	402	753	718	872	812	364	417	850	357	479
409200	7899	3224	7664	6941	7425	8474	4040	4414	7314	3221	4759
100577416	0	0	0	0	0	0	0	0	0	0	0
726182	143	75	130	82	167	154	162	171	165	100	113
726030	9387	4705	10941	8000	8589	10101	6039	6429	9732	4537	6731
725065	2217	1037	2175	1993	2151	2307	1319	1622	2013	1029	1523
100578310	525	186	483	407	487	527	279	326	457	217	346
410721	299	93	330	248	214	348	136	179	314	104	163
411192	1123	547	1362	1092	1279	1459	732	761	1285	518	887
409992	4007	1792	4440	3713	4240	4935	2170	2299	4108	1919	2887
552093	873	456	1082	810	968	1092	561	615	1008	477	746
410530	5349	2170	5623	4694	4933	6014	2742	3104	4916	2309	3182
406090	71	4	17	10	34	34	4	18	10	5	15
726802	284	156	379	293	300	369	169	191	291	133	251
726637	5627	2627	6078	5012	5533	6453	3176	3424	5661	2482	3964
409956	27300	11065	27463	23444	26804	31308	13661	14487	25215	11741	17244
100576251	1134	263	832	1034	974	969	634	513	937	477	741
100576495	6	1	7	7	4	10	2	5	5	2	7
552282	35978	18374	41007	31213	34905	44169	20440	22418	35693	17396	25130
552241	0	0	0	0	0	0	0	0	0	0	0
100576300	732	337	442	483	879	462	348	564	429	362	250
410751	34	11	30	40	36	51	21	11	46	14	20
100578398	4815	1539	4139	4025	4429	4607	2527	2607	4318	2235	2908
409110	7810	4081	8986	7060	8015	8964	4537	5192	7501	3605	5058
100578080	44	29	77	44	60	47	41	56	51	26	58
100577284	803	232	664	759	786	779	370	417	617	346	519
413293	2847	1326	3014	2527	2855	3339	1578	1842	2911	1247	1802
408389	1776	691	1782	1476	1721	2028	788	866	1688	700	1039
